0,56;1,35;22,66;43,65;0,26
0,61;0,27;23,64;45,62;0,28
0,55;0,17;24,67;49,66;0,25
0,56;4,20;30,65;57,63;0,22
0,59;5,19;32,65;58,63;0,22
0,68;6,63;32,64;57,61;0,27
0,84;6,86;32,68;57,57;0,38
0,88;6,93;32,62;57,52;0,35
0,68;7,96;32,59;56,52;0,29
0,62;7,78;34,62;61,59;0,19
0,55;3,81;32,62;59,58;0,20
0,55;2,59;30,61;57,59;0,26
0,61;1,38;30,68;58,66;0,24
0,57;1,53;29,68;57,67;0,23
0,57;3,40;30,60;57,56;0,20
0,49;9,23;34,58;60,54;0,16
0,48;10,18;33,55;55,51;0,21
0,81;11,74;32,67;53,62;0,40
0,94;11,76;30,68;49,55;0,51
0,82;11,90;27,70;43,63;0,37
0,66;11,74;29,69;46,66;0,22
0,57;9,64;29,71;49,71;0,17
0,55;3,47;26,67;49,66;0,16
0,58;2,65;26,61;50,58;0,20
0,59;1,59;27,63;52,60;0,25
0,56;17,36;35,60;54,57;0,19
0,53;37,26;47,62;56,59;0,15
0,53;41,30;47,60;52,57;0,24
0,61;42,21;46,36;50,49;0,34
0,76;42,35;45,48;47,61;0,48
0,71;42,49;44,61;45,60;0,43
0,69;43,49;47,60;51,56;0,24
0,57;28,35;41,57;53,52;0,18
0,54;8,28;31,60;55,58;0,23
0,82;5,65;28,74;52,75;0,32
0,80;4,66;27,74;50,74;0,31
0,64;3,62;26,72;48,71;0,21
0,55;10,56;28,60;46,56;0,21
0,57;13,62;26,66;38,63;0,18
0,64;14,43;25,62;36,59;0,22
0,72;14,72;24,71;35,54;0,46
0,85;14,77;24,70;34,58;0,43
0,82;14,85;23,66;32,57;0,34
0,67;15,72;29,63;42,58;0,19
0,49;8,67;29,56;48,49;0,16
0,51;5,45;29,54;53,48;0,20
0,76;3,79;29,70;55,68;0,27
0,76;3,77;29,68;54,67;0,33
0,62;5,67;29,68;54,67;0,26
0,53;33,53;44,63;54,61;0,19
0,54;39,43;42,63;44,61;0,17
0,67;40,56;39,63;37,62;0,30
0,79;40,27;36,39;30,67;0,41
0,72;41,24;34,47;26,70;0,37
0,55;41,42;37,66;31,74;0,26
0,51;39,42;40,67;39,73;0,19
0,60;11,40;28,68;45,70;0,23
0,66;4,29;26,69;48,69;0,33
0,62;2,26;26,72;50,72;0,32
0,65;1,23;26,74;51,75;0,27
0,54;6,26;29,62;52,59;0,19
0,54;11,34;29,64;46,62;0,20
0,66;13,40;25,68;37,67;0,26
0,78;13,71;22,74;31,69;0,40
0,80;13,68;20,75;27,80;0,38
0,74;13,74;19,75;23,74;0,28
0,66;13,63;21,72;28,72;0,24
0,53;8,48;23,74;37,77;0,15
0,56;3,47;23,64;43,63;0,15
0,58;1,41;24,69;47,69;0,23
0,60;1,46;25,67;49,66;0,27
0,56;2,38;26,60;51,56;0,20
0,55;29,42;41,65;53,63;0,16
0,54;35,38;43,67;49,65;0,17
0,62;37,32;39,61;39,62;0,25
0,75;38,27;36,39;33,58;0,44
0,75;38,32;33,51;27,70;0,44
0,69;38,52;32,65;25,66;0,27
0,55;38,41;38,60;37,60;0,17
0,49;11,38;28,62;45,64;0,16
0,55;4,30;27,70;49,72;0,20
0,61;2,47;28,69;53,69;0,34
0,59;2,37;29,64;56,62;0,22
0,58;4,27;30,61;57,59;0,16
0,53;10,31;34,60;58,57;0,17
0,57;12,28;28,63;45,61;0,18
0,70;12,67;25,65;37,60;0,49
0,71;13,70;23,70;32,56;0,40
0,68;13,78;21,66;29,53;0,27
0,61;13,74;24,66;35,61;0,22
0,56;11,63;29,65;47,62;0,16
0,54;4,62;29,62;55,58;0,23
0,57;2,56;31,65;61,63;0,26
0,54;1,52;34,67;66,66;0,32
0,51;5,38;36,57;70,54;0,19
0,50;28,25;49,62;72,59;0,18
0,53;34,29;49,60;66,57;0,19
0,62;35,23;44,53;54,57;0,28
0,70;36,24;40,39;47,52;0,33
0,74;36,34;38,52;42,57;0,39
0,62;36,50;36,57;37,53;0,21
0,49;33,35;34,56;35,55;0,15
0,45;9,39;21,61;32,58;0,17
0,51;4,42;17,62;31,60;0,14
0,55;3,54;16,79;29,82;0,15
0,55;2,49;16,70;29,70;0,20
0,54;14,39;26,66;37,66;0,13
0,48;19,32;33,61;47,59;0,20
0,61;22,32;38,64;54,63;0,26
0,70;25,45;43,62;61,71;0,36
0,65;26,50;48,66;70,69;0,40
0,66;31,42;55,71;79,76;0,33
1,59;35,36;61,66;88,73;0,33
